seller,buyer_pe_firm,buyer_platform,industry,keywords,transaction_year,city,state,has_press_release,press_release_link
World Resoures Distribution,Lochland Partners,,Window and Door Materials,window and door components / distribution,2026,Dallas,TX,Y,A New Chapter. The Same Trusted Service. - World Resources Distrubition
Precision Pool & Spa,O2 Capital,Azureon,Pool & Spa Service,Pool and Spa design & construction,2025,Fairport,NY,Y,Azureon Has Acquired Precision Tool - Flatirons Capital Advisors
5th Gear,O2 Capital,Straightaway Tire & Auto,Auto Repair,auto repair & maintenance,2025,Broomfield,CO,Y,"EAS Tire & Auto Acquires 5th Gear Automotive, Expanding Access to  Trusted Auto Care in Colorado - Straightaway Tire"
Cummings Electric,Owl Cove,,Electrical Contractor,residential & commerical electrical service,2025,Burlington,VT,N,
Pod's Complete Car Care,O2 Capital,Straightaway Tire & Auto,Auto Repair,auto repair & maintenance,2025,White Bear Lake,MN,Y,Victory Tire & Auto Enters White Bear Lake with Acquisition of Pod's Complete Car Care - Straightaway Tire
Denver Plumbing & HVAC,,Prime Home Services Group,Plumbing & HVAC,residential & commercial plumbing & HVAC,2025,Denver,CO,Y,Denver Plumber and HVAC Joins the Prime Home Services Group Family - Prime Home Services Group
thriveMD,Boyne Capital,Novellum Longevity,Concierge Doctor,longevity health - stem cell therapy,2025,Englewood,CO,Y,Boyne Capital and Platt Park Capital Announce the Formation of Novellum Longevity
Reliable Auto Care,O2 Capital,Straightaway Tire & Auto,Auto Repair,auto repair & maintenance,2025,Buffalo,MN,Y,Straightaway Tire & Auto Completes Six Strategic Acquisitions in the First Half of 2025
AEG Petroleum,Plexus Capital,Ace Solution,Petroleum & Lubricant Distributor,"Petroleum, Lube, blender",2025,Amarillo,TX,Y,AEG Petroleum Partners with Plexus Capital - Flatirons Capital Advisors
MEC,Trive Capital / LP First Captial,Curb Home Solutions,Residential Roofing,"residential roofing, commercial roofing, siding",2025,Grass Valley,CA,N,
Stillwater Auto Clinic,O2 Capital,Straightaway Tire & Auto,Auto Repair,auto repair & maintenance,2025,Oak Park Heights,MN,Y,A Straightaway Brand Acquires Stillwater Auto Clinic - Flatirons Capital Advisors
Precision Auto Works,TPG,Classic Collision,Auto Body Repair,auto body repair - collision repair,2025,Denver,CO,Y,Classic Collision Acquires 2 Colorado Locations - Flatirons Capital Advisors
The Specialists Automotive & Truck,O2 Capital,Straightaway Tire & Auto,Auto Repair,auto repair & maintenance,2025,Merrimack,NH,N,
AWE,Alpine Investors,APEX Service Partners,Residential HVAC,residential & commercial HVAC,2024,Chicago,IL,N,
IVA Environmental Consulting Services,,OVH Environmental Holdings,Environmental consulting,"environmental surveys, wetland permitting, habitat conservation",2024,Port Charlotte,FL,N,
Henrichsen's Fire & Safety Equipment Co,HGGC,Marmic Fire & Safety,Fire & life safety,"fire inspection, sprinklers, alarms",2024,Wheeling,IL,N,
ATI Electrical Supply,Onward Capital,Conneticut Electric Mfg,Electrical Supply,"electrical supply & distribution, portable power",2024,Ft. Lauderdale / Miami,FL,Y,ATI Electrical Supply Merged With Connecticut Electric - Flatirons Capital Advisors
Maple Grove Auto Service,O2 Capital,Straightaway Tire & Auto,Auto Repair,"auto repair & maintenance, auto paint",2024,Maple Grove,MN,Y,Straightaway Tire & Auto Acquires Maple Grove Auto Service - Flatirons Capital Advisors
Go Green Lawn & Pest Control,Cobepa Capital,Ned Stevens Home Care,Lawn Service,"exterior pest control, lawn service, fertilizer",2024,Glen Mills,PA & MD,Y,Go Green Press Release - Ned Stevens
PEI,Trinity Hunt,Dataprise,IT Consulting,"Information technology, MSP",2024,Boulder,CO,Y,Dataprise Acquires PEI - Flatirons Capital Advisors
Top Gun Collision Experts,CenterOak Partners,CollisionRight,Auto Body Repair,auto body repair - collision repair - auto paint,2024,,MD,Y,(7) Post | LinkedIn
biome Consulting Group,,UES,Environmental consulting,environmental regulatory and compliance-related consulting services.,2023,Pensacola,FL,Y,UES Expands Ecological Expertise with Acquisition of Biome Consulting Group - UES
Ecological Resource Consulting Inc,Strength Capital,Western States Reclamation,Reclamation Services,"river restoration, stormwater management, habitat conservation, and disturbed land reclamation,",2023,Lakewood,CO,Y,Western States Reclamation Announces the Acquisition of Ecological Resource Consultants
Stratified Environmental & Archaeological Services,Riverside,PALEOWEST,Environmental consulting,"public and private sectors, regulatory challenges posed by prehistoric, historic, architectural, ethnographic, and paleontological resources",2023,Ignacio,CO,Y,PaleoWest Adds Stratified to Further Drive Rapid Growth
Strategic Merchandise Group,New State Capital Partners,KMS,Wholesale consumer products,"closeout inventory, wholesaler of general merchandise",2023,Newton Falls,OH,Y,"Strategic Merchandise Group 2026 Company Profile: Valuation, Investors, Acquisition | PitchBook"
General Fire Sprinkler Co,,API  Group,Fire & life safety,"fire inspection, sprinklers, alarms",2023,Kansas City,KS,Y,API Group Inc. Acquires General Fire Sprinkler Company LLC
Coldstar Inc,,Preston Refrigeration,Commercial refrigeration,design and installation of industrial ammonia refrigeration systems,2022,Orlando,FL,Y,"Preston Refrigeration Acquires Coldstar, Inc."
Certified Auto Body Center,,KAIZEN Collision Center,Auto Body Repair,auto body repair - collision repair,2022,Las Vegas,NV,Y,Kaizen Collision Center Acquires Certified Auto Body Center
Delta Fire Protection & Equipment,DCA Partners,Millennium Fire Protection Corp,Fire & life safety,"fire inspection, sprinklers, alarms",2022,Roseville,CA,Y,fire and life safety services Archives - Flatirons Capital Advisors
Colorado Storage Systems,Wind Point Partners,American Trailer Rental Group,Trailer Rentals,"trailer rentals, trailer storage",2022,Denver,CO,Y,American Trailer Rental Group Acquires Colorado Storage Systems
SWC,,Resource Environmental Solutions,Environmental consulting,ecological consulting firms,2022,Florida Keys,FL,Y,"Resource Environmental Solutions Acquires Sandra Walters Consultants, Inc.   - Flatirons Capital Advisors"
Henry Smith Plumbing Heating & Cooling,Cobepa Capital,Heartland Home Services,HVAC,"residential & commercial HVAC, Plumbing",2022,Elkhart,IN,Y,"Heartland Home Services Acquires Henry Smith Plumbing, Heating & Cooling - Flatirons Capital Advisors"
Boss Paint & Body,,KAIZEN Collision Center,Auto Body Repair,auto body repair - collision repair - auto paint,2021,Anaheim,CA,Y,Kaizen Collision Center Acquires Boss Paint and Body - Flatirons Capital Advisors
Zunesis,Seaside Equity Partners,Absolute Performance,IT Consulting,"Information technology, MSP",2021,Denver,CO,Y,"Absolute Performance announces the acquisition of Zunesis, Inc. – Seaside Equity Partners | San Diego, California"
Arizona Verde Fire Protection,,API Group,Fire & life safety,"fire inspection, sprinklers, alarms",2021,Phoenix,AZ,N,
North American Refrigeration,,Preston Refrigeration,Commercial refrigeration,commercial refrigeration,2021,Davie,FL,N,
North Shore Fire Equipment,Audax Private Equity,Academy Fire,Fire & life safety,"fire inspection, sprinklers, alarms",2021,Maspeth,NY,Y,AI Fire Acquires North Shore Fire Equipment to Expand Services for the NYC Metro and Northeast Markets - AI Fire
Murraysmith Inc,Keystone Capital,CONSOR,Engineering Firm,"infrastructure engineering and construction management firm, water & transportation",2020,Everett,WA,Y,CON_MUR-1.pdf
Remote Learner,Carlyle Cardinal Ireland,Learning Pool,Online learning solutions,data-driven approach to learning solutions,2020,Denver,CO,Y,Learning Pool acquires Remote Learner as part of ambitious US expansion plan
New West Oil Company,Audax Private Equity,Reladyne,Petroleum & Lubricant Distributor,"Petroleum, Lube, blender",2020,Phoenix,AZ,Y,RelaDyne Acquires New West Oil Company of Arizona
KMS Inc,New State Capital Partners,,Wholesale consumer products,"closeout inventory, wholesaler of general merchandise",2020,Wichita,KS,Y,New State Capital Takes Majority Stake In KMS
Kennebec Fire Equipment,Audax Private Equity,Academy Fire,Fire & life safety,"fire inspection, sprinklers, alarms",2020,Winslow,ME,Y,AI Fire Acquires Kennebec Fire Equipment | Mergr
Integrity Fire,Walnut Grove Capital Partners,,Fire & life safety,"fire inspection, sprinklers, alarms",2020,Englewood,CO,Y,Company History | Integrity Fire Safety Services
Big Bear A/C & Heating,Trudela Capital,,Residential HVAC,residential & commercial HVAC,2020,Denton,TX,Y,Trudela Partners Completes Third and Fourth HVAC Acquisitions in the First Quarter of 2020 - Flatirons Capital Advisors
P&J Sprinkler Co,Audax Private Equity,Academy Fire,Fire & life safety,"fire inspection, sprinklers, alarms",2020,Willimantic,CT,Y,"Audax Private Equity portfolio company, AI Fire, acquires P&J Sprinkler Company - Flatirons Capital Advisors"
Florida Fire Service Co,Align Capital Partners,Protegis Fire & Safety,Fire & life safety,"fire inspection, sprinklers, alarms",2017,Tampa,FL,Y,fire and life safety service provider Archives - Flatirons Capital Advisors
Uniform Technology,Audax Private Equity,PIP - Protective Industrial Products,Safety Equipment & clothing,"safety equipment, clothing, cleanroom",2019,Boulder,CO,Y,"Protective Industrial Products, Inc. acquires Uniform Technology - Flatirons Capital Advisors"
Brenneco Fire Protection,Thompson Street Capital Partners,Marmic Fire & Safety,Fire & life safety,"fire inspection, sprinklers, alarms",2019,Indianapolis,IN,Y,Marmic Fire & Safety Co. Acquires Brenneco Fire Protection
